id,username,created_at,lng,lat,text
1517614131855212544,missBeatriiz,Fri Apr 22 21:19:39 +0000 2022,-74.066663,40.7180015,@brittystylez the jam melting is the worst
1517614133188911107,Jeffrey_Zabe,Fri Apr 22 21:19:39 +0000 2022,-77.60468399999999,41.1179365,@eurigmorgan @joe_friedrich @johnhotujec I think Curling is right up there Eurig.
1517614142944862211,paytonismygirl,Fri Apr 22 21:19:42 +0000 2022,-74.16489008,40.58993262,Just posted a photo @ Bario's Restaurant and Catering https://t.co/YOcO8GXgoB
1517614143695556608,feach23,Fri Apr 22 21:19:42 +0000 2022,-74.15394699999999,40.572376000000006,"@ZDOLLA24 @OGV2KGOAT @Boxciii If it has nothing to do with 9/11, why did Rim Sharp make this comment with the same… https://t.co/7KBn1j1sf3"
1517614149152428032,Stevie_Pay,Fri Apr 22 21:19:43 +0000 2022,-73.8494415,40.8503475,@CSPQueenSteph @hannon_lori @TheRechargeGuy @karifox @MrsJaronfelder @JohnPalmer_ER Congratulations Stephanie!! 🎉
1517614151128035334,JennFelice31,Fri Apr 22 21:19:44 +0000 2022,-74.17108999999999,40.3784155,Friday Feels 🍷 https://t.co/FAymRO5cb0
1517614170178473986,SamBoShows,Fri Apr 22 21:19:48 +0000 2022,-73.9685415,40.780709,Washington Square Park is a VIBE today! 🌎
1517614171428372480,johnpaul_moda,Fri Apr 22 21:19:49 +0000 2022,-73.8311875,40.6708795,@moonbirds_xyz Just genius 🦉
1517614176243437569,YiAndyChen,Fri Apr 22 21:19:50 +0000 2022,-73.824696,40.7614715,Today @Grace4NY @SandraForNY1 &amp;@tobystavisky announced their endorsements for @KathyHochul Re-election for Governor… https://t.co/s2kLPhMDTj
1517614181821952000,NYC4691,Fri Apr 22 21:19:51 +0000 2022,-73.9685415,40.780709,@hels My MIL once made us her famously delicious cheesecake. She used salt instead of sugar.
1517614189023571969,YiAndyChen,Fri Apr 22 21:19:53 +0000 2022,-73.824696,40.7614715,"We glad to support @KathyHochul for very simple reasons.She has the right leadership,she listens to people, she kee… https://t.co/TwjfwP0XbI"
1517614192383115265,MrLandesman,Fri Apr 22 21:19:54 +0000 2022,-73.9685415,40.780709,"@StuckIn48403550 I have never heard ""yards per second"" used in a football game."
1517614195910619141,shitshowftlian,Fri Apr 22 21:19:54 +0000 2022,-73.9487755,40.655138,I deactivated my personal Instagram account because I got tired of watching everyone enjoy the outdoor life &amp; amazi… https://t.co/EWJ1BzEjmg
1517614221474902026,Shoshannah_Bux,Fri Apr 22 21:20:00 +0000 2022,-73.9487755,40.655138,Can’t wait for you to join us!!
1517614256405061634,AviusAnimaeNFT,Fri Apr 22 21:20:09 +0000 2022,-73.9487755,40.655138,There are seven auspicious combinations. There are 7 unique creations to bestow. Find the lost animae amongst our numbers…….
1517614257260711944,Soundsgoodddd,Fri Apr 22 21:20:09 +0000 2022,-73.8311875,40.6708795,miami in july then DR in august 😏
1517614259093614592,feach23,Fri Apr 22 21:20:09 +0000 2022,-74.15394699999999,40.572376000000006,@ZDOLLA24 @OGV2KGOAT @Boxciii So then what does it mean? Why planes and a building? Why not just a plane?
1517614263858311168,mattiaswikman,Fri Apr 22 21:20:11 +0000 2022,-73.9487755,40.655138,@mds Super inspiring. We did a little smaller during the Pandemic. Built in Sweden. Managed from NYC. It was pretty… https://t.co/D8opB5e8Zx
1517614289942720513,graceclarke,Fri Apr 22 21:20:17 +0000 2022,-73.9685415,40.780709,This makes me wonder if Shein would white-label or allow use of its wildly verticalized operations. Not that I ha… https://t.co/1zRAFp7yem
1517614303452581888,soundsofmaria,Fri Apr 22 21:20:20 +0000 2022,-73.9685415,40.780709,"Beautifying, body healing foods 💋🥑🥬 #whenyourbodyisinneed https://t.co/xACcED4bWe"
1517614307080642563,Insta_Gremm,Fri Apr 22 21:20:21 +0000 2022,-77.60468399999999,41.1179365,NBA insiders are the most attention seeking ppl of all time 🙄🙄🙄… brooms are out Romona! 🧹🧹🧹
1517614310565892096,tmj_MA_facmgmt,Fri Apr 22 21:20:22 +0000 2022,-71.2280234,42.4286907,Looking to score a job at Guckenheimer? You're in luck. Click the link in our bio for the job description and infor… https://t.co/QucXOthb20
1517614312482873345,SteveBenderWx,Fri Apr 22 21:20:22 +0000 2022,-74.066663,40.7180015,Banana runts are the best
1517614315209207812,pinkgiantgay,Fri Apr 22 21:20:23 +0000 2022,-73.069676,40.663509,First beach walk of the summer https://t.co/qnDqt2zi8i
1517614317721559041,KentnorWarren,Fri Apr 22 21:20:23 +0000 2022,-75.77004099999999,42.746617,@Mehmed56019723 @glitter_2em13 Can I lick you all over
1517614320561045506,DwiMuzik,Fri Apr 22 21:20:24 +0000 2022,-73.92752,40.80737,More Details are on the way... Just know it's going up in the BX @beatstronyc lounge Next Thursday! 6pm-12pm shout… https://t.co/otwV9MnRUn
1517614324029788170,NYC4691,Fri Apr 22 21:20:25 +0000 2022,-73.9685415,40.780709,@zachvat I don’t see it doing a thing.
1517614337082417155,NotherBrother,Fri Apr 22 21:20:28 +0000 2022,-73.9487755,40.655138,VIDEO with sound on IG @ https://t.co/hqQadUW0Nm🖤 https://t.co/hz4nRkg99J
1517614341553635330,silvanaxoox,Fri Apr 22 21:20:29 +0000 2022,-73.8311875,40.6708795,@gyp5ysoul_ same she really did her thing here
1517614343696920579,foodmasku,Fri Apr 22 21:20:30 +0000 2022,-73.9685415,40.780709,"It’s Friday again!It’s Saturday, Sunday, what? https://t.co/ALCbvQRKP2"
1517614347572457473,DFlex2123,Fri Apr 22 21:20:31 +0000 2022,-74.15394699999999,40.572376000000006,@NYCTheMiC @Pride21American @JAGD94 @TheGman713 @MokaChocaLatte @MJ_61074 @jesusshuttlez @doxie_jake @CaptDaveUSCG… https://t.co/YMZedB8CDm
1517614354346168325,1gerigg,Fri Apr 22 21:20:32 +0000 2022,-73.9874205,40.820404499999995,Exclusive: Madison Cawthorn photos reveal him wearing women’s lingerie in public setting https://t.co/AaeIs7e3jT via @politico
1517614359387807745,HoundPlot,Fri Apr 22 21:20:33 +0000 2022,-74.586764,40.4286715,@GOPLeader You’re a piece of crap hope you get voted out when the Republicans win the majority you should never be speaker
1517614371664543751,dallasmom53,Fri Apr 22 21:20:36 +0000 2022,-74.15394699999999,40.572376000000006,@crimsonrum I hate long drawn out storylines.  Is Hat Daddy a Fed? Why does he hate Sonny? Did he know him or Deke… https://t.co/oHcMV3nrOK
1517614377712631808,FlamingoMantra,Fri Apr 22 21:20:38 +0000 2022,-73.8178769,40.6757757,TONIGHT @ MANTRA!@qfdjace &amp; @djvinnynycROOFTOP SEASON! #SpringBreak #FridayNightPump‼️ Doors Open 9PM!VIP/CABAN… https://t.co/9LHd7qvfEw
1517614381328183296,JuicyJae2022,Fri Apr 22 21:20:39 +0000 2022,-74.066663,40.7180015,@Evil_Huncho Who did that
1517614385384022016,Alex_Friedman31,Fri Apr 22 21:20:40 +0000 2022,-74.15394699999999,40.572376000000006,Something intelligent?? https://t.co/2ieBxc1cNS
1517614387049160704,AsherHBaron,Fri Apr 22 21:20:40 +0000 2022,-73.9685415,40.780709,Twitter Live stinks. I found where my nuggets word. Forgot to press “confirm”
1517614394003406850,ratedferg29,Fri Apr 22 21:20:42 +0000 2022,-73.9685415,40.780709,Now on View at @dallasartfair w/ @eduardoseccigallery located in Booth #F12 until April 24th. “Daysha’s Crown (He… https://t.co/UMOH1lub3G
1517614396066996225,CraigsBeds,Fri Apr 22 21:20:42 +0000 2022,-73.9685415,40.780709,@Digiscapes1 Thanks Kyle … We’ll definitely go for a burger 🙌 and fries 🙌
1517614399195951106,TotalTrafficABE,Fri Apr 22 21:20:43 +0000 2022,-76.18806,40.49918,Disabled vehicle in #UpperTulpehocken on I 78 WB at PA-183/Exit 19 #traffic https://t.co/oKwuiejqFB
1517614399195951104,TotalTrafficALB,Fri Apr 22 21:20:43 +0000 2022,-73.84454,42.70039,Accident in #Albany on I-90 WB after Exit 24 (Northway//I-90). Reported by DOT #traffic https://t.co/Lz3PqqUkWC
1517614399233667077,TotalTrafficNYC,Fri Apr 22 21:20:43 +0000 2022,-74.19516,40.36247,"Accident. One lane blocked in #Holmdel on RT-34 NB at Roberts Rd, stopped traffic back to CO Hwy 520/Newman Spgs Rd… https://t.co/xyFS49GKOt"
1517614425599102980,sweetiebabes08,Fri Apr 22 21:20:49 +0000 2022,-73.9487755,40.655138,"@aburkhartlaw @erica96047091 @ComeGeekSome1 What s/h/b a movement to empower women, was weaponized against men. ‘Wo… https://t.co/sp6xrRO8Wz"
1517614426068856836,bigstape,Fri Apr 22 21:20:49 +0000 2022,-77.60468399999999,41.1179365,@Popehat What fresh hell is this?
1517614428694499331,LaurenceTobias1,Fri Apr 22 21:20:50 +0000 2022,-73.554097,41.0983345,"@lau56 The more ridiculous, the more they say it!"
1517614430460198915,mssurfer808,Fri Apr 22 21:20:50 +0000 2022,-73.9685415,40.780709,"And yes, they are keeping tabs on when you swipe in when you’re on site, when you book your desk or if you cancel your desk booking"
1517614437506682880,BostonBelle4,Fri Apr 22 21:20:52 +0000 2022,-71.683502,42.036939000000004,@CivilServantRet @marinemom34 @Struzz21 Here’s to hoping 🙏🏻 💙
1517614443017949190,NOWWHAT53,Fri Apr 22 21:20:53 +0000 2022,-71.683502,42.036939000000004,@MarkKendall_GW @Sammie1863_ @robbbbbb420 @chadreed99 @thattugglife It’s really hard to know what goes inside the c… https://t.co/M7qE5uEJHj
1517614443928113152,seyfunmi,Fri Apr 22 21:20:54 +0000 2022,-73.9487755,40.655138,Ise delta man 👨 👌 🙌 South South men anyday anytime 😊 https://t.co/uxGFgzhup9
1517614463305846786,justinaharoni,Fri Apr 22 21:20:58 +0000 2022,-73.9487755,40.655138,Learning about earth things from people smarter than me
1517614476262051840,Richardtoolbox,Fri Apr 22 21:21:01 +0000 2022,-77.60468399999999,41.1179365,"@MsCarmellaBella Enjoy. I’m taking a nap and then going to work, hopefully will be a short work night"
1517614477050482689,imelijahwallace,Fri Apr 22 21:21:01 +0000 2022,-73.9685415,40.780709,@MarkDParris1 Good advice! 😁
1517614494301802497,NYC4691,Fri Apr 22 21:21:06 +0000 2022,-73.9685415,40.780709,@tlccourville She’s getting away with whatever she did.
1517614516347060229,lindseypsolomon,Fri Apr 22 21:21:11 +0000 2022,-73.8311875,40.6708795,@benarmishaw Did she IG it?
1517614516162506752,KissMyBlackAsh_,Fri Apr 22 21:21:11 +0000 2022,-73.9487755,40.655138,This actually isn’t a bad idea tbh. Especially considering we know how a lot of men can act very uncivilized when t… https://t.co/DsSfvyJvYQ
1517614517039116291,OxshottColl,Fri Apr 22 21:21:11 +0000 2022,-74.26909,40.87767,Just posted a photo @ Oxshott Collection https://t.co/KyGXnhp88z
1517614534562926593,captj696,Fri Apr 22 21:21:15 +0000 2022,-73.8311875,40.6708795,@SarahWallace4NY @5 While my prayers go out to this family truly sad. I also know one of their relatives so this se… https://t.co/esJqbUIwKK
1517614536773283846,mattiaswikman,Fri Apr 22 21:21:16 +0000 2022,-73.9487755,40.655138,@mds You SketchUp skills look solid. I only took it to outlines and measurements!
1517614551474262018,MarkSun1962,Fri Apr 22 21:21:19 +0000 2022,-73.81882,41.054688,"I'm at 7-Eleven in Elmsford, NY https://t.co/LkXoN4SE4Q"
1517614556960464897,Gkalner,Fri Apr 22 21:21:20 +0000 2022,-73.66944950000001,40.5886235,Day 2 and we are everywhere! @MitchBickman @dblockchem @NewsWIC https://t.co/d3HLhUuoXH
1517614567051784192,Refone10,Fri Apr 22 21:21:23 +0000 2022,-74.00095847,40.73126109,With My Bro @team.reborn2020 if you know you know #healthiswealth🌳💰💯 #sixtyplusandfit💪🏾 #prostatecancersurvivor 🤞🏾… https://t.co/9huDAekKSb
1517614578926039040,brian_phares,Fri Apr 22 21:21:26 +0000 2022,-75.77004099999999,42.746617,I remember watching this at the restaurant I worked at with a bunch of Yankee fans and losing my goddamned mind
